Date;Date;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
BELLEVUE GROUP AG ;BELLEVUE GROUP AG - BOOK VALUE-OUT SHARES-FISCAL;0.00027829408974200707;0.00013309074804965574;0.0003280690179126205;0.0003555440491579492;9.490476758103023e-05;0.0001554422140926281;0.0001295087981006338;0.00013396224344513967;0.00016461095088608025;9.764872539147753e-05;0.00043117267362015663;0.00010804179226673367;7.66625490990185e-05;2.415584220248875e-05;1.4265650585429233e-05;1.8071447992844756e-05;1.268119020741123e-05;9.02940888113253e-06;1.135177491908657e-05;8.27122587440344e-06;1.575439327824919e-06;1.328842499752422e-06;
BERGBAHNEN TITLIS AG ;BERGBAHNEN TITLIS AG - BOOK VALUE-OUT SHARES-FISCAL;9.174565980916386e-05;3.373756329232622e-05;0.00010315565136190445;0.00010482009559436854;3.1872472103653116e-05;4.7466867307752746e-05;3.5790647841772186e-05;3.30074397965875e-05;4.771349420501548e-05;4.24058076559058e-05;0.0002255006027944916;0.00010470628223202038;0.00010372240551726485;4.437549602348365e-05;3.2582839148974504e-05;5.5422659635690524e-05;4.360212500249064e-05;2.9835475233764892e-05;3.622293059598173e-05;2.77661510540926e-05;5.250024159966367e-06;4.801660258931121e-06;
BERNER KANTO ;BERNER KANTO - BOOK VALUE-OUT SHARES-FISCAL;0.0014484071064195306;0.0005601628833799199;0.0014262085644176428;0.0014293850136150525;0.0004279121569132243;0.0006121834631338903;0.0004302202033637582;0.00040060550848825297;0.0005324241163935712;0.0004587335909656702;0.0026827968155021665;0.0009774918283751912;0.000873322261826363;0.0003034689908336301;0.00018839280869274266;0.00026810925826362434;0.00020843076033701615;0.00013862665615937752;0.00016293376258388044;0.00012365929683768288;2.8748940151531556e-05;2.824281828102288e-05;
BFW LIEGENSCHAFTEN ;BFW LIEGENSCHAFTEN - BOOK VALUE-OUT SHARES-FISCAL;;;;;;;;4.978201181934154e-05;0.0001219559650563074;9.98876425340849e-05;0.0005945355698588372;0.0002062082261722656;0.00017547170462234172;6.567796079066505e-05;3.8047384097758994e-05;5.268342676332914e-05;4.157644093228112e-05;2.7551799202946878e-05;3.295917959824761e-05;2.5305379311872008e-05;;;
BIOXELL S.P.A. ;BIOXELL S.P.A. - BOOK VALUE-OUT SHARES-FISCAL;;;;5.0162975115917135e-05;3.027643588558268e-05;3.4710078251699647e-05;4.5104524433461224e-05;3.124842262874428e-05;3.156332017259275e-05;1.6907572250141352e-05;;;;;;;;;;;;;
BKW AG ;BKW AG - BOOK VALUE-OUT SHARES-FISCAL;0.00022449541828127383;0.00020016616792634622;0.000521736408618288;0.0005466881045193776;0.00016625872166518388;0.00028397959871194885;0.00020434776423526192;0.0001775724787655434;0.00023614695865762454;0.00020163941986521701;0.0010781452768543647;0.000344931713739583;0.00029762672221365216;8.639682098486034e-05;5.325786393194104e-05;7.352435152460236e-05;5.839058486004563e-05;4.1441882605961215e-05;4.6795601637093486e-05;3.711357556121702e-05;8.899065448920527e-06;8.954881080749688e-06;
BLACK ;BLACK - BOOK VALUE-OUT SHARES-FISCAL;;;;;;;;;;;;;;;4.808884292979561e-07;6.495236726787524e-07;5.60364114811535e-07;;2.7615761219305466e-07;3.3100746589998713e-07;1.1602614393031791e-07;;
BOBST GROUP SA ;BOBST GROUP SA - BOOK VALUE-OUT SHARES-FISCAL;0.0008464960533838103;0.000258581275797194;0.000614046576272992;0.0005933700653082451;0.00017629147956621735;0.00025163574324780396;0.00018504224068957784;0.00017302885829566464;0.00017479240723370238;0.00011399575361173754;0.0006224984277789687;0.0002141035158424484;0.00017750568445854334;5.637620175045602e-05;2.9016426502617198e-05;3.595567186717901e-05;3.0888729960894844e-05;2.3502718527945604e-05;2.687059850037114e-05;2.0533779380359886e-05;3.893547642647404e-06;4.295790653415859e-06;
BONDPARTNERS SA ;BONDPARTNERS SA - BOOK VALUE-OUT SHARES-FISCAL;0.012948835554768796;0.0046850665953373635;0.011270873780809753;0.011066625133489758;0.0032173046552349265;0.004902583566375697;0.003392648783129634;0.002851226838088185;0.003371076974717824;0.002986145147277616;0.016070740370328625;0.005756546894122966;0.00436516903252069;0.0016576093750928157;0.0010624181211979298;0.0012608205009142406;0.0009793629629809499;0.0006493119992127088;0.0006866435324086629;0.0005359452216208659;0.00012096672267903529;0.00011818255025959153;
BOSSARD HOLDING AG ;BOSSARD HOLDING AG - BOOK VALUE-OUT SHARES-FISCAL;0.0003877515791511418;0.000121169061020877;0.0002930889008418017;0.00027971508780975544;8.41333789651223e-05;0.00013895533772563805;9.456718517508369e-05;8.852299546405468e-05;0.0001201637387609388;7.908559286703551e-05;0.00048563883863327083;0.00019590187494140994;3.810146124334101e-05;3.901351677752532e-05;2.899100508785255e-05;3.447516114541901e-05;2.8610774689572852e-05;2.356904085578672e-05;3.113561368979963e-05;2.2170144493834696e-05;5.286623863637706e-06;5.408969143950042e-06;
